Sample,Cq Value
D_N_N01,31.56
D_N_N01,31.51
D_N_N02,30.77
D_N_N02,31.38
D_N_N03,34.66
D_N_N03,35.08
D_N_N04,34.02
D_N_N04,33.79
D_N_N05,N/A
D_N_N05,N/A
D_N_N06,36.56
D_N_N06,36.34
D_N_N07,34.94
D_N_N07,34.42
D_N_N08,33.11
D_N_N08,33.03
D_N_H09,32.4
D_N_H09,32.23
D_N_H10,31.5
D_N_H10,31.3
D_D_N11,33.38
D_D_N11,33.25
D_D_N12,30.48
D_D_N12,30.62
D_D_N13,33.03
D_D_N13,33.07
D_D_N14,32.2
D_D_N14,32.03
D_D_N15,32.83
D_D_N15,33.04
D_D_N16,39.81
D_D_N16,N/A
D_D_N17,33.1
D_D_N17,32.99
D_D_N18,32.24
D_D_N18,32.21
D_D_H19,33.76
D_D_H19,33.32
D_D_H20,30.59
D_D_H20,30.9
T_N_N01,29.48
T_N_N01,29.77
T_N_N02,28.63
T_N_N02,28.04
T_N_N03,30.62
T_N_N03,30.12
T_N_N04,31.4
T_N_N04,31.65
T_N_N05,35.51
T_N_N05,34.87
T_N_N06,31.54
T_N_N06,32.06
T_N_N07,32.47
T_N_N07,32.58
T_N_N08,31.22
T_N_N08,31.18
T_N_H09,30.12
T_N_H09,29.86
T_N_H10,29.67
T_N_H10,29.91
T_D_N11,28.82
T_D_N11,28.96
T_D_N12,29.94
T_D_N12,30.07
T_D_N13,33.07
T_D_N13,33.2
T_D_N14,32.36
T_D_N14,32.19
T_D_N15,32.4
T_D_N15,32.99
T_D_N16,32.85
T_D_N16,33.03
T_D_N17,32.1
T_D_N17,32.23
T_D_N18,30.96
T_D_N18,31.03
T_D_H19,29.42
T_D_H19,29.59
T_D_H20,29.09
T_D_H20,30.36
