Sample,Cq Value
D_N_N01,36.17
D_N_N01,36.43
D_N_N02,N/A
D_N_N02,N/A
D_N_N03,38.53
D_N_N03,N/A
D_N_N04,37.86
D_N_N04,38.85
D_N_N05,N/A
D_N_N05,N/A
D_N_N06,N/A
D_N_N06,39.67
D_N_N07,38.71
D_N_N07,37.25
D_N_N08,36.47
D_N_N08,36.16
D_N_H09,N/A
D_N_H09,N/A
D_N_H10,N/A
D_N_H10,N/A
D_D_N11,N/A
D_D_N11,N/A
D_D_N12,37.59
D_D_N12,N/A
D_D_N13,37.01
D_D_N13,36.61
D_D_N14,N/A
D_D_N14,39.36
D_D_N15,38.77
D_D_N15,38.13
D_D_N16,39.65
D_D_N16,N/A
D_D_N17,37.45
D_D_N17,38.73
D_D_N18,38.89
D_D_N18,39.41
D_D_H19,N/A
D_D_H19,N/A
D_D_H20,35.95
D_D_H20,36.22
T_N_N01,38.24
T_N_N01,37.73
T_N_N02,37.51
T_N_N02,37.18
T_N_N03,37.11
T_N_N03,36.94
T_N_N04,34.45
T_N_N04,34.68
T_N_N05,N/A
T_N_N05,39.67
T_N_N06,36.38
T_N_N06,38.17
T_N_N07,N/A
T_N_N07,37.88
T_N_N08,37.63
T_N_N08,36.19
T_N_H09,38.2
T_N_H09,36.9
T_N_H10,N/A
T_N_H10,N/A
T_D_N11,38.76
T_D_N11,39.33
T_D_N12,N/A
T_D_N12,N/A
T_D_N13,39.25
T_D_N13,38.74
T_D_N14,N/A
T_D_N14,N/A
T_D_N15,N/A
T_D_N15,N/A
T_D_N16,38.57
T_D_N16,N/A
T_D_N17,37.19
T_D_N17,37.91
T_D_N18,37.27
T_D_N18,37.16
T_D_H19,36.34
T_D_H19,36.9
T_D_H20,37.59
T_D_H20,38.28
