Sample,Cq Value
D_N_N01,32.55
D_N_N01,32.37
D_N_N02,31.01
D_N_N02,31.21
D_N_N03,34.62
D_N_N03,34.3
D_N_N04,35.21
D_N_N04,35.18
D_N_N05,N/A
D_N_N05,N/A
D_N_N06,35.83
D_N_N06,36.2
D_N_N07,35.09
D_N_N07,35.07
D_N_N08,34.38
D_N_N08,34.75
D_N_H09,32.41
D_N_H09,32.69
D_N_H10,31.82
D_N_H10,31.97
D_D_N11,32.01
D_D_N11,31.91
D_D_N12,30.16
D_D_N12,30.25
D_D_N13,32.96
D_D_N13,32.9
D_D_N14,33.69
D_D_N14,33.94
D_D_N15,33.48
D_D_N15,33.63
D_D_N16,38.49
D_D_N16,39.24
D_D_N17,33.11
D_D_N17,32.98
D_D_N18,33.97
D_D_N18,34.36
D_D_H19,27.92
D_D_H19,27.75
D_D_H20,30.98
D_D_H20,30.75
T_N_N01,31.16
T_N_N01,31.36
T_N_N02,28.81
T_N_N02,28.59
T_N_N03,32.42
T_N_N03,32.5
T_N_N04,31.87
T_N_N04,31.85
T_N_N05,34.66
T_N_N05,34.76
T_N_N06,33.35
T_N_N06,33.42
T_N_N07,32.98
T_N_N07,33.24
T_N_N08,33.26
T_N_N08,33
T_N_H09,32.05
T_N_H09,31.83
T_N_H10,30.25
T_N_H10,30.28
T_D_N11,33.29
T_D_N11,32.6
T_D_N12,31.14
T_D_N12,30.87
T_D_N13,33.16
T_D_N13,33.41
T_D_N14,33.78
T_D_N14,33.64
T_D_N15,34.06
T_D_N15,34.19
T_D_N16,34.32
T_D_N16,34.44
T_D_N17,33.18
T_D_N17,33
T_D_N18,33.31
T_D_N18,33.37
T_D_H19,31.32
T_D_H19,31.43
T_D_H20,31.48
T_D_H20,31.48
