Sample,Cq Value
D_N_N01,36.82
D_N_N01,N/A
D_N_N02,N/A
D_N_N02,N/A
D_N_N03,N/A
D_N_N03,N/A
D_N_N04,N/A
D_N_N04,N/A
D_N_N05,39.16
D_N_N05,N/A
D_N_N06,37.93
D_N_N06,N/A
D_N_N07,N/A
D_N_N07,N/A
D_N_N08,N/A
D_N_N08,N/A
D_N_H09,39.71
D_N_H09,N/A
D_N_H10,N/A
D_N_H10,N/A
D_D_N11,N/A
D_D_N11,N/A
D_D_N12,37.4
D_D_N12,N/A
D_D_N13,37.56
D_D_N13,N/A
D_D_N14,N/A
D_D_N14,39.29
D_D_N15,38.58
D_D_N15,N/A
D_D_N16,N/A
D_D_N16,N/A
D_D_N17,N/A
D_D_N17,N/A
D_D_N18,39.42
D_D_N18,N/A
D_D_H19,N/A
D_D_H19,N/A
D_D_H20,39.42
D_D_H20,N/A
T_N_N01,36.49
T_N_N01,N/A
T_N_N02,N/A
T_N_N02,N/A
T_N_N03,N/A
T_N_N03,N/A
T_N_N04,N/A
T_N_N04,N/A
T_N_N05,N/A
T_N_N05,N/A
T_N_N06,35.25
T_N_N06,35.61
T_N_N07,N/A
T_N_N07,N/A
T_N_N08,N/A
T_N_N08,N/A
T_N_H09,37.31
T_N_H09,36.3
T_N_H10,N/A
T_N_H10,N/A
T_D_N11,N/A
T_D_N11,N/A
T_D_N12,N/A
T_D_N12,38.03
T_D_N13,37.89
T_D_N13,N/A
T_D_N14,N/A
T_D_N14,N/A
T_D_N15,39.69
T_D_N15,N/A
T_D_N16,N/A
T_D_N16,N/A
T_D_N17,N/A
T_D_N17,N/A
T_D_N18,36.53
T_D_N18,N/A
T_D_H19,35.81
T_D_H19,N/A
T_D_H20,N/A
T_D_H20,N/A
