Sample,Cq Value
D_N_N01,37.35
D_N_N01,37.53
D_N_N02,37.24
D_N_N02,36.55
D_N_N03,37.86
D_N_N03,38.76
D_N_N04,35.78
D_N_N04,36.05
D_N_N05,N/A
D_N_N05,N/A
D_N_N06,39.65
D_N_N06,38.13
D_N_N07,37.75
D_N_N07,38.23
D_N_N08,35.94
D_N_N08,35.93
D_N_H09,39.2
D_N_H09,39.25
D_N_H10,N/A
D_N_H10,N/A
D_D_N11,N/A
D_D_N11,N/A
D_D_N12,36.59
D_D_N12,36.83
D_D_N13,36.45
D_D_N13,35.71
D_D_N14,37.8
D_D_N14,37.23
D_D_N15,35.27
D_D_N15,36.39
D_D_N16,N/A
D_D_N16,N/A
D_D_N17,35.89
D_D_N17,35.8
D_D_N18,37.14
D_D_N18,37.17
D_D_H19,N/A
D_D_H19,N/A
D_D_H20,38.34
D_D_H20,38.8
T_N_N01,37.75
T_N_N01,38.1
T_N_N02,38.25
T_N_N02,37.82
T_N_N03,36.01
T_N_N03,34.88
T_N_N04,34.77
T_N_N04,34.97
T_N_N05,N/A
T_N_N05,N/A
T_N_N06,35.82
T_N_N06,36.61
T_N_N07,37.7
T_N_N07,37.73
T_N_N08,35.36
T_N_N08,35.38
T_N_H09,37.69
T_N_H09,36.57
T_N_H10,38.48
T_N_H10,N/A
T_D_N11,N/A
T_D_N11,N/A
T_D_N12,39.58
T_D_N12,38.13
T_D_N13,37.44
T_D_N13,37.54
T_D_N14,37.5
T_D_N14,37.25
T_D_N15,37.54
T_D_N15,37.02
T_D_N16,37.04
T_D_N16,37.67
T_D_N17,36.79
T_D_N17,36.73
T_D_N18,35.73
T_D_N18,35.59
T_D_H19,37.47
T_D_H19,37.07
T_D_H20,37.16
T_D_H20,36.89
