Sample ,Cq Value
D_N_N01,23.62
D_N_N01,23.27
D_N_N02,23.85
D_N_N02,23.92
D_N_N03,26.51
D_N_N03,26.62
D_N_N04,24.59
D_N_N04,24.69
D_N_N05,34.92
D_N_N05,35.59
D_N_N06,28.13
D_N_N06,28.17
D_N_N07,27.28
D_N_N07,27.2
D_N_N08,24.22
D_N_N08,24.29
D_N_H09,26.15
D_N_H09,26.18
D_N_H10,25.96
D_N_H10,26.06
D_D_N11,29.86
D_D_N11,30.17
D_D_N12,24.18
D_D_N12,24.23
D_D_N13,25.11
D_D_N13,24.89
D_D_N14,25.48
D_D_N14,25.47
D_D_N15,25.08
D_D_N15,25.17
D_D_N16,31.59
D_D_N16,31.34
D_D_N17,24.84
D_D_N17,24.92
D_D_N18,24.91
D_D_N18,25.14
D_D_H19,28.56
D_D_H19,28.48
D_D_H20,23.45
D_D_H20,23.33
T_N_N01,N/A
T_N_N01,23.87
T_N_N02,22.03
T_N_N02,21.72
T_N_N03,23.59
T_N_N03,23.66
T_N_N04,22.34
T_N_N04,22.52
T_N_N05,28.32
T_N_N05,28.26
T_N_N06,24.45
T_N_N06,24.49
T_N_N07,25.01
T_N_N07,25
T_N_N08,23.86
T_N_N08,24.03
T_N_H09,24.74
T_N_H09,24.86
T_N_H10,25.87
T_N_H10,26.21
T_D_N11,25.6
T_D_N11,25.53
T_D_N12,25.95
T_D_N12,25.95
T_D_N13,26.41
T_D_N13,26.5
T_D_N14,26.91
T_D_N14,26.99
T_D_N15,25.72
T_D_N15,25.96
T_D_N16,24.87
T_D_N16,24.95
T_D_N17,24.45
T_D_N17,24.28
T_D_N18,24.17
T_D_N18,24.08
T_D_H19,23.24
T_D_H19,23.33
T_D_H20,23.16
T_D_H20,23.29
