Sample,Cq Value
D_N_N01,36.78
D_N_N01,36.28
D_N_N02,36.9
D_N_N02,37.08
D_N_N03,N/A
D_N_N03,N/A
D_N_N04,38.47
D_N_N04,N/A
D_N_N05,N/A
D_N_N05,N/A
D_N_N06,N/A
D_N_N06,N/A
D_N_N07,N/A
D_N_N07,39.8
D_N_N08,38.15
D_N_N08,38.1
D_N_H09,N/A
D_N_H09,39.79
D_N_H10,37.96
D_N_H10,37.39
D_D_N11,39.87
D_D_N11,39.89
D_D_N12,36.26
D_D_N12,36.37
D_D_N13,39.86
D_D_N13,37.68
D_D_N14,37.44
D_D_N14,N/A
D_D_N15,37.32
D_D_N15,38.71
D_D_N16,N/A
D_D_N16,N/A
D_D_N17,38.61
D_D_N17,37.95
D_D_N18,37.52
D_D_N18,37.76
D_D_H19,N/A
D_D_H19,N/A
D_D_H20,36.14
D_D_H20,35.99
T_N_N01,35.02
T_N_N01,35.77
T_N_N02,34.27
T_N_N02,33.9
T_N_N03,36.6
T_N_N03,36.45
T_N_N04,36.15
T_N_N04,36.47
T_N_N05,N/A
T_N_N05,39.2
T_N_N06,36.98
T_N_N06,38.62
T_N_N07,39.49
T_N_N07,38.04
T_N_N08,36.43
T_N_N08,36.73
T_N_H09,36.76
T_N_H09,36.99
T_N_H10,36.97
T_N_H10,37.42
T_D_N11,37.89
T_D_N11,38.21
T_D_N12,39
T_D_N12,39.65
T_D_N13,39.65
T_D_N13,39.56
T_D_N14,39.44
T_D_N14,N/A
T_D_N15,38.84
T_D_N15,38.49
T_D_N16,37.2
T_D_N16,38.65
T_D_N17,N/A
T_D_N17,39.34
T_D_N18,36.4
T_D_N18,35.9
T_D_H19,35.3
T_D_H19,35.2
T_D_H20,34.7
T_D_H20,34.42
