Sample,Cq Value
D_N_N01,39.27
D_N_N01,37.67
D_N_N02,37.79
D_N_N02,37.82
D_N_N03,39.58
D_N_N03,N/A
D_N_N04,N/A
D_N_N04,39.45
D_N_N05,N/A
D_N_N05,N/A
D_N_N06,N/A
D_N_N06,N/A
D_N_N07,N/A
D_N_N07,39.94
D_N_N08,37.61
D_N_N08,38.43
D_N_H09,N/A
D_N_H09,N/A
D_N_H10,38.17
D_N_H10,38.93
D_D_N11,N/A
D_D_N11,39.22
D_D_N12,38.06
D_D_N12,37.77
D_D_N13,37.96
D_D_N13,38.78
D_D_N14,N/A
D_D_N14,N/A
D_D_N15,37.84
D_D_N15,N/A
D_D_N16,N/A
D_D_N16,N/A
D_D_N17,39.81
D_D_N17,38.53
D_D_N18,37.81
D_D_N18,38.58
D_D_H19,N/A
D_D_H19,N/A
D_D_H20,36.91
D_D_H20,36.64
T_N_N01,37.05
T_N_N01,37.16
T_N_N02,37.03
T_N_N02,36.47
T_N_N03,37.4
T_N_N03,38.75
T_N_N04,36.49
T_N_N04,36.67
T_N_N05,N/A
T_N_N05,N/A
T_N_N06,39.07
T_N_N06,N/A
T_N_N07,38.29
T_N_N07,38.92
T_N_N08,37.53
T_N_N08,37.48
T_N_H09,37.55
T_N_H09,36.73
T_N_H10,38.32
T_N_H10,38.82
T_D_N11,37.1
T_D_N11,37.35
T_D_N12,37.93
T_D_N12,38.11
T_D_N13,39.1
T_D_N13,38.53
T_D_N14,N/A
T_D_N14,39.66
T_D_N15,39.6
T_D_N15,39.58
T_D_N16,38.11
T_D_N16,38.41
T_D_N17,N/A
T_D_N17,N/A
T_D_N18,36.9
T_D_N18,37.94
T_D_H19,36.53
T_D_H19,36.52
T_D_H20,36.54
T_D_H20,36.09
